text_id,author,title,sample_idx,rep,condition,lang,n_windows,ttr_slope,ttr_r2,ttr_p_value,ttr_initial,ttr_final,tokens_per_sentence_mean_slope,tokens_per_sentence_mean_r2,tokens_per_sentence_mean_p_value,tokens_per_sentence_mean_initial,tokens_per_sentence_mean_final,chars_per_token_mean_slope,chars_per_token_mean_r2,chars_per_token_mean_p_value,chars_per_token_mean_initial,chars_per_token_mean_final,n_unique_unigrams_slope,n_unique_unigrams_r2,n_unique_unigrams_p_value,n_unique_unigrams_initial,n_unique_unigrams_final,n_unique_bigrams_slope,n_unique_bigrams_r2,n_unique_bigrams_p_value,n_unique_bigrams_initial,n_unique_bigrams_final,n_repeated_bigrams_slope,n_repeated_bigrams_r2,n_repeated_bigrams_p_value,n_repeated_bigrams_initial,n_repeated_bigrams_final,n_unique_trigrams_slope,n_unique_trigrams_r2,n_unique_trigrams_p_value,n_unique_trigrams_initial,n_unique_trigrams_final,n_repeated_trigrams_slope,n_repeated_trigrams_r2,n_repeated_trigrams_p_value,n_repeated_trigrams_initial,n_repeated_trigrams_final
artificial-intelligence__s02__r02,wikipedia_eng,artificial-intelligence,2,2.0,baseline,eng,15,0.10449904756237598,0.07709451416659134,0.3163632641165768,0.5257731958762887,0.62,-17.00833333333333,0.301650107548019,0.03395720958573445,32.333333333333336,20.0,1.1432122539365683,0.14087259832752388,0.1680284306106862,4.418181818181818,5.422222222222223,11.333333333333329,0.12044175869972906,0.20503294243286796,51,62,7.833333333333332,0.12404537286612757,0.1979330479688317,75,89,-9.0,0.0389215162840363,0.4809532221420494,34,19,2.0,0.029315960912052134,0.5417741137326504,85,94,-1.3333333333333344,0.002540489044141001,0.8584185881903306,19,8
reinforcement-learning__s00__r00,wikipedia_eng,reinforcement-learning,0,0.0,baseline,eng,15,-0.1708407913824519,0.05563417729894685,0.3973842214097272,0.6041666666666666,0.6304347826086957,-5.688888888888888,0.0016680667840823149,0.8850926915284203,32.0,23.0,0.615715519980034,0.031159297189262393,0.5291386344119775,4.0,5.311111111111111,-16.33333333333333,0.06339608692208168,0.3653217567263882,58,58,-25.999999999999996,0.0827271120296969,0.2985749055887761,83,81,35.666666666666664,0.08454001048535373,0.2931033080013167,19,17,-30.833333333333336,0.12014167766575869,0.2056362263558395,91,86,42.49999999999999,0.11543746405061675,0.21534522255690183,5,7
black-power__s01__r01,wikipedia_eng,black-power,1,1.0,baseline,eng,15,-0.05742123464446034,0.05554065967500549,0.39779285407217335,0.7171717171717171,0.7058823529411765,-5.599999999999999,0.12471071942628828,0.1966508451236474,33.0,25.5,0.27434407733997773,0.011921783741927943,0.6984940676360396,5.1923076923076925,5.428571428571429,-3.999999999999999,0.05357142857142857,0.4065313624994634,71,72,-0.6666666666666666,0.004519774011299436,0.8118367301869811,96,97,5.499999999999998,0.03743811881188119,0.48960136004926536,4,8,1.6666666666666663,0.021132713440405744,0.6052014890498703,97,99,2.0,0.03157894736842107,0.5263328898879505,0,2
black-power__s02__r01,wikipedia_eng,black-power,2,1.0,baseline,eng,15,-0.03683069933481101,0.008383563490202667,0.7455328434310253,0.6808510638297872,0.75,-3.12222222222222,0.020560598906366398,0.6101810811240984,23.5,23.0,0.5225414360348597,0.1306034390953268,0.18566858676435094,4.746987951807229,5.77027027027027,-2.1666666666666656,0.007698615160349846,0.7558452099253508,64,69,0.8333333333333328,0.0014568764568764555,0.892571324675293,90,90,6.166666666666667,0.01163640690874473,0.7019702836185067,6,2,0.16666666666666644,6.811989100817417e-05,0.9767110002605062,91,90,6.333333333333333,0.0337793580986245,0.5120234181983457,2,0
artificial-intelligence__s00__r02,wikipedia_eng,artificial-intelligence,0,2.0,baseline,eng,15,-0.10051600374742785,0.10981261714798764,0.2276056081146223,0.7555555555555555,0.7604166666666666,0.42129629629629495,0.00030928624476388405,0.9503976583010214,22.5,24.0,-0.9235311516694741,0.1351231183405572,0.17767999117446148,6.855072463768116,6.805194805194805,-9.166666666666666,0.18626847290640394,0.10819589723398569,68,73,-5.999999999999999,0.15976331360946747,0.13991552364716142,86,93,10.499999999999998,0.08982076581877431,0.27781914262806484,5,4,-2.8333333333333326,0.04360289680144837,0.4551469218284173,87,94,6.166666666666665,0.11051017113335485,0.22604492629642367,2,0
reinforcement-learning__s01__r00,wikipedia_eng,reinforcement-learning,1,0.0,baseline,eng,15,-0.013837107419479647,0.0013551918477170985,0.8963688991901299,0.6947368421052632,0.7916666666666666,-6.616666666666666,0.17283019355291485,0.12327573609314864,23.75,24.0,0.5143812901351767,0.029432092637117057,0.5409626053680605,5.135802469135802,6.25,-0.4999999999999992,0.0002880184331797225,0.9521315959786043,66,76,-1.833333333333333,0.004853979460847241,0.8051230622582883,90,95,5.833333333333331,0.013322747639970413,0.682079151301086,8,0,-0.6666666666666664,0.0009341429238673511,0.9138944204053534,91,94,4.999999999999998,0.024684585847504104,0.5760253226797916,4,0
black-power__s00__r02,wikipedia_eng,black-power,0,2.0,baseline,eng,15,-0.17265480159790983,0.05396736375404981,0.4047535777080463,0.7391304347826086,0.7340425531914894,-12.82222222222222,0.17130525459080537,0.1251119215404772,30.666666666666668,23.5,-0.05608060435377929,0.0002315377441555071,0.9570765456710297,5.987341772151899,5.6625,-17.333333333333332,0.07747185055725869,0.31513270836996654,68,69,-25.999999999999996,0.13395570038310803,0.17970862119896558,89,91,29.83333333333332,0.06766728334051374,0.34910127073871067,4,4,-29.166666666666664,0.19475110014499017,0.09961769688905818,90,92,36.5,0.11819808363399774,0.20958967992309954,0,0
generative-artificial-intelligence__s02__r00,wikipedia_eng,generative-artificial-intelligence,2,0.0,baseline,eng,15,-0.04727069330629201,0.03690639667568929,0.49276097637144634,0.7596153846153846,0.8058252427184466,-8.92222222222222,0.21393515247560627,0.08256096656858071,34.666666666666664,25.75,0.6380191387056352,0.08351977089378969,0.2961679125290191,5.011363636363637,5.987804878048781,-3.3333333333333313,0.029002320185614824,0.5439765300274884,79,83,2.9999999999999996,0.0777351247600768,0.31427753697274147,100,101,-1.8333333333333333,0.01217303822937626,0.6954723067288568,6,2,2.333333333333333,0.03692539562923888,0.4926475238211695,102,101,-1.6283271027835626e-16,8.28577860518597e-34,1.0,0,0
black-power__s01__r00,wikipedia_eng,black-power,1,0.0,baseline,eng,15,-0.1243579846981271,0.027520007667034017,0.5546045360147522,0.7934782608695652,0.7,-12.488888888888885,0.08449180306435063,0.29324727475049495,30.666666666666668,20.0,0.35464758958262843,0.009368693731188251,0.7314787637526502,5.36,5.441860465116279,-11.333333333333332,0.03190549790240671,0.5241670710061324,73,70,-11.999999999999996,0.026621749311860645,0.5612290372512745,90,96,15.166666666666668,0.015085657239876708,0.6627763244742534,2,6,-11.666666666666666,0.03652028739230242,0.4950756719299301,90,98,14.499999999999998,0.017538209151659514,0.6380039912854024,0,0
a-bela-e-a-fera-ou-a-ferida-grande-demais__s00__r02,lispector,a-bela-e-a-fera-ou-a-ferida-grande-demais,0,2.0,baseline,pt,15,-0.08389121258204693,0.09194676082826803,0.27192691802689345,0.6631578947368421,0.6831683168316832,-11.161091044604975,0.08271778420273983,0.2986033673063793,47.5,25.25,0.02156671787478879,0.0009418280514229406,0.9135421708122942,4.534883720930233,4.288888888888889,-6.166666666666665,0.07981576492537314,0.30761610464135886,62,68,-7.833333333333332,0.0991828304597701,0.25291023672288265,91,99,11.166666666666666,0.07371100164203614,0.32766125492876086,6,2,-3.999999999999999,0.0933246921581335,0.268184244705021,92,99,7.333333333333332,0.08804802619610697,0.28284467649019784,2,0
miss-algrave__s00__r02,lispector,miss-algrave,0,2.0,baseline,pt,15,-0.1401561485464392,0.04864311250944923,0.42959234120461653,0.69,0.638095238095238,-4.667293233082707,0.030035044705447846,0.5367832921821378,25.0,17.5,-0.1044564391563681,0.01670264697801323,0.6461989741845091,4.388888888888889,4.102272727272728,-8.833333333333332,0.018874136587201343,0.6253738805803862,67,65,-13.333333333333329,0.020888546548820445,0.6073163721138142,99,103,15.666666666666664,0.030604893457840336,0.5328848072206562,0,2,-15.166666666666664,0.04059711736444749,0.47146657750303445,98,103,18.33333333333333,0.06169440365475605,0.3720524974192745,0,0
o-corpo__s02__r00,lispector,o-corpo,2,0.0,baseline,pt,15,-0.06911434099082742,0.23612158961748428,0.06629204012850519,0.7352941176470589,0.6262626262626263,-5.2293650793650786,0.06827768247280411,0.3468581876721766,25.5,14.142857142857142,-0.2597774263903098,0.16395203801957184,0.1343522024289263,4.666666666666667,4.311688311688312,-3.1666666666666656,0.021125936329588008,0.6052599854489111,68,58,-2.1666666666666665,0.006738437001594895,0.7711777665976696,100,92,9.166666666666664,0.2307750991760756,0.06991058653093513,2,12,1.0,0.0020585544373284536,0.8724408234710282,100,97,2.6666666666666665,0.10457516339869281,0.23970640530960088,0,0
brasilia__s00__r00,lispector,brasilia,0,0.0,baseline,pt,15,-0.1948089446481887,0.1436704066215515,0.1635281705262229,0.693069306930693,0.6415094339622641,-2.493541861188919,0.006056296095720923,0.782798768926135,25.25,21.2,0.13782307342703715,0.0074255208170128685,0.7600954914604756,4.358695652173913,4.5978260869565215,-13.999999999999998,0.06582826435795053,0.3559706589283317,66,66,-21.5,0.0756037945008814,0.32128178504220783,98,100,30.99999999999999,0.11767827258255434,0.2106607101321695,4,10,-19.499999999999993,0.09278916544655925,0.2696318027192127,99,102,31.333333333333325,0.14016052790203354,0.169193910225843,0,4
o-corpo__s00__r02,lispector,o-corpo,0,2.0,baseline,pt,15,-0.18361106046890185,0.5836309473876129,0.0009147663077867848,0.6272727272727273,0.5445544554455446,-8.017401346503512,0.15864388564863324,0.14144083973196991,22.0,16.833333333333332,-0.06495714928453789,0.007389320680484169,0.7606652040023929,4.157894736842105,3.988764044943821,-18.333333333333325,0.5488026124818575,0.0015806527453170389,66,52,-19.666666666666664,0.42127556577514225,0.008842184060432735,104,75,36.16666666666666,0.6899689368186611,0.0001256284469107683,10,48,-12.833333333333332,0.3125131773139364,0.03027763715155887,107,81,27.500000000000004,0.5995639534883722,0.0007021460292930825,2,36
a-bela-e-a-fera-ou-a-ferida-grande-demais__s02__r01,lispector,a-bela-e-a-fera-ou-a-ferida-grande-demais,2,1.0,baseline,pt,15,-0.19700863054831275,0.10352492094348187,0.2422169639118751,0.6039603960396039,0.6454545454545455,-4.201218323586743,0.01347419857697612,0.6803649408465857,33.666666666666664,22.0,0.15828859299011544,0.05552818271475534,0.39784741597554074,4.0,4.488888888888889,-19.83333333333333,0.10570119129370315,0.23704648558494917,58,67,-28.499999999999996,0.08762345974972433,0.2840638079796277,91,106,31.999999999999993,0.10794476264099231,0.2318427383040929,18,5,-31.666666666666664,0.11941463672810512,0.20710571501374628,97,108,35.49999999999999,0.13038267886702223,0.18606822509455476,4,0
o-corpo__s00__r00,lispector,o-corpo,0,0.0,baseline,pt,15,-0.09247983718848353,0.021804574840249044,0.5994591049910887,0.6696428571428571,0.7887323943661971,-6.047460563172636,0.029667112278751594,0.5393268404057202,18.666666666666668,17.75,-0.5485484808169552,0.20318755420574847,0.09173828478052153,3.978723404255319,3.8,-7.33333333333333,0.016810225062517357,0.6451303922263121,72,55,-13.33333333333333,0.02583854141433715,0.5671247916870454,109,69,23.833333333333325,0.066768320555853,0.35243809365932066,4,2,-12.666666666666663,0.025053351145965255,0.5731524971927001,110,69,23.333333333333336,0.08750781319760696,0.28439693738391025,0,0
