metric,n_valid,mean,std,variance,min,max,cv
synt_DEPREL_expl:pass_md,89,1.0014044943820224,0.013249973500079499,0.00017556179775280896,1.0,1.125,0.01323139008703591
synt_UPOS_NUM_prop,379,0.01316368118304565,0.013299149990929843,0.00017686739048124926,0.0017064846416382,0.0688976377952756,1.0102911036814437
synt_DEPREL_obl_prop,595,0.03921909676129734,0.013889281007162952,0.0001929121268959375,0.0019157088122605,0.0864745011086474,0.3541458665327892
synt_DEPREL_expl:pv_prop,265,0.012797603872816872,0.013941678340029313,0.00019437039493684248,0.0017513134851138,0.1122994652406417,1.0893975527436466
synt_DEPREL_dep_prop,76,0.01706834058669519,0.014738017177110667,0.0002172091503128091,0.0017667844522968,0.0625,0.8634710036545078
synt_DEPREL_mark_prop,582,0.024289382938190926,0.015129345489527036,0.00022889709494147207,0.0018691588785046,0.1095890410958904,0.622878956127729
synt_DEPREL_aux_prop,471,0.01699943876619147,0.015247267677467714,0.0002324791716283517,0.0016611295681063,0.0914179104477612,0.8969277096248331
synt_DEPREL_acl:relcl_prop,560,0.021373810964214875,0.015443988428959231,0.00023851677859382665,0.0017361111111111,0.0759753593429158,0.7225659689241355
synt_DEPREL_advmod_prop,593,0.03203439407101373,0.017885401445235094,0.00031988758485721754,0.0017513134851138,0.1417624521072797,0.5583187060003945
synt_UPOS_ADV_prop,593,0.03194762813563456,0.018161661352044188,0.00032984594306633547,0.0017513134851138,0.1153119092627599,0.5684823071978409
synt_UPOS_CCONJ_prop,576,0.026170399044694793,0.018281503883857807,0.00033421338425550814,0.0017301038062283,0.3333333333333333,0.6985565582181597
synt_DEPREL_cc_prop,576,0.02629897653993966,0.018299012207828726,0.0003348538477822648,0.0017301038062283,0.3333333333333333,0.6958070090689055
synt_UPOS_X_prop,67,0.015440330473135339,0.020021340848242104,0.0004008540893614878,0.0018867924528301,0.0956719817767653,1.2966912128647294
synt_DEPREL_obj_prop,595,0.04950013883825563,0.020447638686220657,0.0004181059278422276,0.0080213903743315,0.2163355408388521,0.4130824512035091
synt_UPOS_AUX_prop,591,0.03440038198249032,0.02328599511677333,0.0005422375685783914,0.0018761726078799,0.132183908045977,0.6769109461815228
